Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
9,46,0,4,4,-0.7924796612725374
7,62,0,8,8,-0.16785694470020493
7,84,1,7,3,1.2375441675875432
9,72,1,8,0,0.7170252371105995
4,89,1,5,2,0.8731809162536827
9,78,0,4,8,0.8731809162536827
4,79,0,7,6,0.5608695579675164
6,68,1,7,6,0.35266198577673885
7,43,1,9,2,-0.9486353404156206
9,87,1,8,8,1.4978036328260151
7,91,1,4,9,1.4457517397783208
9,46,1,7,9,-0.5322201960340656
3,71,0,6,6,-0.16785694470020493
3,96,0,9,2,1.1334403814921545
4,74,1,5,5,0.2485581996813501
4,86,0,4,2,0.35266198577673885
7,44,0,9,9,-0.9486353404156206
7,81,1,4,5,0.8731809162536827
7,70,0,9,6,0.4567657718721276
1,75,0,8,4,-0.32401262384328805
6,85,0,4,0,0.5608695579675164
8,55,0,6,1,-0.3760645168909824
9,41,1,6,8,-0.7924796612725374
1,85,1,6,3,0.2485581996813501
5,71,0,4,7,0.14445441358596134
7,47,0,5,3,-1.000687233463315
8,72,1,7,2,0.6129214510152108
2,71,1,4,7,-0.2719607307955937
9,58,0,6,5,-0.06375315860481617
5,94,1,4,5,1.2375441675875432
6,45,1,8,3,-1.1047910195587036
7,56,0,9,8,-0.42811640993867683
1,86,1,5,4,0.35266198577673885
4,64,1,8,4,-0.42811640993867683
6,78,1,5,6,0.5608695579675164
3,41,1,5,6,-1.833517522226425
2,65,1,9,4,-0.7924796612725374
2,88,0,5,2,0.1965063066336557
6,48,1,4,0,-1.000687233463315
6,57,1,7,3,-0.6363239821294543
7,41,1,7,3,-1.1047910195587036
7,43,0,8,0,-1.1568429126063982
1,49,0,7,2,-1.677361843083342
6,64,0,7,1,-0.11580505165251055
5,75,1,8,1,0.35266198577673885
9,70,0,6,5,0.5608695579675164
7,76,1,6,8,0.6129214510152108
1,99,1,9,3,1.0293365953967657
8,54,0,5,3,-0.4801683029863712
8,45,1,4,7,-0.8445315543202319
9,76,0,5,9,0.8211290232059882
7,57,1,6,2,-0.3760645168909824
5,92,0,7,2,1.1334403814921545
1,71,0,8,9,-0.4801683029863712
5,62,1,6,1,-0.5322201960340656
6,98,1,8,6,1.8101149911121814
8,48,0,7,7,-0.7924796612725374
8,93,0,7,2,1.7580630980644871
2,44,1,6,4,-1.833517522226425
9,49,0,8,9,-0.3760645168909824
7,98,0,7,9,2.0703744563506534
9,44,0,5,1,-0.9486353404156206
9,80,0,7,3,1.341647953682932
3,63,1,8,6,-0.6363239821294543
9,80,0,7,8,1.1854922745398488
5,54,1,8,5,-0.740427768224843
9,45,1,8,8,-0.4801683029863712
2,41,0,8,2,-2.0417250944172025
6,75,1,4,0,0.35266198577673885
7,73,1,8,7,0.5088176649198219
7,40,1,7,1,-1.1568429126063982
5,58,0,9,0,-0.6883758751771487
7,42,1,8,9,-1.1568429126063982
9,47,1,7,2,-0.42811640993867683
1,96,0,7,1,0.7690771301582938
6,52,1,9,9,-0.6883758751771487
4,89,0,4,8,1.0293365953967657
3,47,1,4,7,-1.4691542708925645
7,47,0,8,7,-1.000687233463315
3,85,1,4,3,0.5088176649198219
2,60,1,8,7,-0.9486353404156206
5,89,1,8,2,1.0293365953967657
4,77,0,4,9,0.1965063066336557
5,43,1,7,0,-1.4691542708925645
5,69,1,9,3,0.09240252053826696
4,94,1,4,2,0.925232809301377
9,92,0,7,6,1.7580630980644871
5,43,1,6,8,-1.2088948056540925
4,56,0,6,9,-0.7924796612725374
1,87,1,7,8,0.5608695579675164
2,88,0,4,3,0.5608695579675164
6,64,0,4,9,-0.32401262384328805
1,44,1,8,3,-1.833517522226425
6,94,0,4,9,1.341647953682932
3,60,1,8,8,-0.6363239821294543
8,99,1,4,3,1.7580630980644871
4,82,1,8,4,0.35266198577673885
7,69,0,7,0,0.2485581996813501
6,75,0,4,2,0.2485581996813501
1,88,1,7,4,0.5088176649198219
5,54,0,5,3,-1.0527391265110093
6,75,0,6,5,0.35266198577673885
1,51,1,5,9,-1.41710237784487
1,60,1,7,4,-1.1568429126063982
8,60,0,5,9,-0.11580505165251055
5,48,1,5,5,-1.2088948056540925
6,82,1,9,8,0.7690771301582938
8,65,0,5,3,0.14445441358596134
6,42,0,9,5,-1.3650504847971756
1,99,0,7,3,0.925232809301377
6,67,0,5,4,0.04035062749057258
4,99,1,8,5,1.6539593119690983
8,78,1,5,5,0.8731809162536827
6,90,0,7,9,1.1334403814921545
8,53,1,9,8,-0.32401262384328805
3,96,0,4,6,0.9772847023490714
5,45,0,5,6,-1.3650504847971756
8,40,0,8,6,-1.1047910195587036
1,67,1,8,7,-0.5322201960340656
1,50,0,4,6,-1.7294137361310362
9,75,1,4,7,0.925232809301377
2,90,0,6,0,0.6649733440629051
5,98,1,4,6,1.6539593119690983
6,74,1,4,2,0.4047138788244332
6,84,1,7,7,0.8731809162536827
6,62,1,5,3,-0.16785694470020493
9,47,0,8,8,-0.5322201960340656
2,84,0,4,1,0.04035062749057258
8,92,1,8,8,1.7580630980644871
8,69,0,7,1,0.2485581996813501
5,83,0,5,0,0.6649733440629051
4,73,1,8,0,0.1965063066336557
7,60,0,8,8,0.09240252053826696
4,81,0,7,5,0.6129214510152108
3,43,0,6,2,-1.833517522226425
8,92,1,4,5,1.4978036328260151
8,42,1,9,8,-0.8965834473679262
5,74,1,6,5,0.3006100927290445
8,49,1,9,8,-0.58427208908176
4,64,1,9,8,-0.32401262384328805
2,73,1,8,2,-0.2719607307955937
2,97,0,6,7,0.9772847023490714
4,85,0,7,5,0.5608695579675164
4,86,0,6,1,0.7690771301582938
2,46,1,9,9,-1.41710237784487
1,94,0,5,1,0.5608695579675164
4,70,1,4,3,-0.2199088377478993
6,95,1,8,4,1.4978036328260151
5,86,1,4,7,0.8731809162536827
8,75,1,6,1,0.8211290232059882
8,75,0,6,6,0.7170252371105995
8,97,0,9,7,2.018322563302959
3,68,1,9,6,-0.32401262384328805
5,41,0,7,2,-1.573258056987953
2,80,0,8,6,0.14445441358596134
7,59,0,9,1,-0.42811640993867683
3,79,1,9,5,0.3006100927290445
3,79,1,8,9,0.2485581996813501
1,64,0,7,2,-1.0527391265110093
5,46,1,7,2,-1.2088948056540925
6,84,1,7,7,1.2375441675875432
5,72,0,5,7,0.09240252053826696
5,53,1,7,3,-0.6883758751771487
7,48,0,7,7,-0.8965834473679262
5,56,0,8,5,-0.7924796612725374
2,87,1,6,7,0.4047138788244332
6,61,0,7,4,-0.32401262384328805
9,73,0,6,9,0.8211290232059882
8,87,0,5,3,1.2375441675875432
1,55,1,7,8,-1.2609466987017868
6,57,1,9,1,-0.4801683029863712
4,47,0,4,6,-1.6253099500356474
7,79,0,4,7,0.7170252371105995
2,92,1,5,3,0.6649733440629051
1,90,1,5,0,0.6129214510152108
6,60,1,6,2,-0.2719607307955937
7,74,1,5,7,0.6649733440629051
9,87,1,9,9,1.5498555258737094
1,59,0,6,4,-1.2088948056540925
3,82,1,5,9,0.4047138788244332
4,44,1,8,9,-1.3129985917494813
1,60,0,7,0,-1.000687233463315
6,72,1,6,5,0.2485581996813501
6,54,1,8,1,-0.6883758751771487
9,58,1,5,2,-0.06375315860481617
5,78,1,9,2,0.4567657718721276
3,62,0,7,0,-0.7924796612725374
2,68,1,5,4,-0.42811640993867683
3,71,0,9,0,-0.16785694470020493
2,40,1,4,8,-2.0417250944172025
3,80,0,4,9,0.14445441358596134
7,67,1,4,1,0.09240252053826696
6,88,1,6,7,1.1854922745398488
5,58,1,7,2,-0.6363239821294543
7,78,0,8,5,0.7690771301582938
5,54,0,8,8,-0.7924796612725374
8,57,1,6,0,-0.32401262384328805
3,72,0,4,8,-0.2719607307955937
4,50,0,5,7,-0.9486353404156206
6,70,1,5,2,0.04035062749057258
1,48,0,6,8,-1.573258056987953
3,41,1,8,9,-1.6253099500356474
7,69,0,8,5,0.35266198577673885
6,66,1,4,4,-0.2199088377478993
5,41,1,6,7,-1.4691542708925645
7,69,0,8,1,0.3006100927290445
8,58,0,8,1,-0.16785694470020493
6,65,1,4,1,0.04035062749057258
7,79,0,8,8,0.7690771301582938
7,77,0,5,3,0.5608695579675164
3,75,1,9,4,0.2485581996813501
1,85,1,9,1,0.14445441358596134
8,45,0,7,3,-0.8965834473679262
8,76,0,7,2,0.7170252371105995
5,88,0,5,2,0.8211290232059882
4,55,1,7,8,-0.8445315543202319
2,65,0,5,1,-0.7924796612725374
5,76,0,8,8,0.35266198577673885
5,94,0,7,2,1.4457517397783208
4,92,1,4,0,0.9772847023490714
6,89,0,9,8,1.2375441675875432
1,99,0,8,1,1.0293365953967657
7,95,0,9,6,1.6539593119690983
8,89,1,4,6,1.4978036328260151
1,66,1,4,2,-0.8965834473679262
9,63,0,4,8,0.1965063066336557
3,45,0,5,2,-1.6253099500356474
9,67,0,4,5,0.2485581996813501
5,40,1,7,8,-1.5212061639402588
5,54,1,5,1,-1.000687233463315
1,58,0,5,2,-1.1568429126063982
9,71,0,7,1,0.6129214510152108
3,83,1,6,3,0.4047138788244332
1,92,1,6,8,0.6649733440629051
3,73,0,8,0,-0.06375315860481617
2,66,0,4,2,-0.6883758751771487
1,75,1,8,4,-0.2199088377478993
3,68,1,8,9,-0.32401262384328805
3,67,1,5,9,-0.32401262384328805
2,88,0,8,8,0.6129214510152108
6,55,1,7,2,-0.4801683029863712
3,69,0,6,2,-0.3760645168909824
3,67,1,9,9,-0.2719607307955937
1,92,1,4,9,0.5608695579675164
1,79,1,7,7,0.04035062749057258
2,57,0,6,0,-1.2609466987017868
5,70,0,5,6,0.04035062749057258
9,89,0,7,2,1.601907418921404
1,42,0,9,1,-2.093776987464897
5,53,0,4,4,-1.000687233463315
6,94,0,6,4,1.4457517397783208
2,56,0,6,2,-1.2609466987017868
5,81,0,8,8,0.7690771301582938
4,72,0,5,3,0.04035062749057258
8,62,1,4,2,-0.16785694470020493
5,49,0,5,5,-1.1568429126063982
7,88,1,4,9,1.3936998467306263
3,94,1,7,1,0.9772847023490714
9,54,1,5,9,-0.32401262384328805
4,56,1,8,6,-0.6363239821294543
3,72,1,8,6,-0.06375315860481617
7,55,1,7,5,-0.2719607307955937
7,57,1,9,9,-0.3760645168909824
6,52,0,4,4,-1.0527391265110093
3,67,0,9,8,-0.4801683029863712
2,71,0,8,8,-0.16785694470020493
4,88,1,5,4,0.7170252371105995
1,78,0,4,6,-0.16785694470020493
7,77,0,7,1,0.6649733440629051
5,47,1,8,3,-1.0527391265110093
1,40,0,4,8,-2.24993266660798
7,78,0,6,2,0.8731809162536827
8,56,0,9,3,-0.2719607307955937
5,52,0,5,6,-1.1568429126063982
6,78,1,6,5,0.8211290232059882
4,76,0,7,2,0.14445441358596134
6,92,0,9,2,1.3936998467306263
1,85,0,5,5,0.3006100927290445
5,71,0,5,5,-0.06375315860481617
1,59,0,9,6,-1.1047910195587036
1,70,0,6,5,-0.58427208908176
1,87,0,9,3,0.5088176649198219
1,82,1,8,3,0.3006100927290445
5,81,1,5,7,0.6129214510152108
8,53,0,7,5,-0.5322201960340656
7,93,1,5,7,1.5498555258737094
6,68,1,4,5,-0.06375315860481617
4,97,1,8,7,1.341647953682932
4,90,0,8,3,0.7170252371105995
2,83,1,6,0,0.35266198577673885
8,90,1,7,3,1.5498555258737094
9,67,0,7,9,0.5088176649198219
9,99,0,4,1,2.0703744563506534
3,50,0,7,0,-1.2609466987017868
3,80,1,9,6,0.4567657718721276
5,60,1,8,5,-0.42811640993867683
5,53,1,7,7,-0.7924796612725374
4,79,0,6,6,0.3006100927290445
8,54,1,9,5,-0.4801683029863712
9,81,0,4,2,1.0813884884444602
2,59,1,7,6,-0.8965834473679262
8,82,0,7,3,1.0813884884444602
4,52,0,4,1,-1.0527391265110093
3,82,1,4,8,0.5088176649198219
2,85,1,8,5,0.35266198577673885
5,43,0,7,6,-1.3650504847971756
9,54,1,5,7,-0.2719607307955937
1,86,0,4,6,0.1965063066336557
5,98,1,6,3,1.4978036328260151
9,78,1,8,3,1.0293365953967657
7,43,1,7,2,-1.1047910195587036
3,71,1,7,4,-0.2719607307955937
3,93,1,6,2,0.9772847023490714
6,73,1,5,6,0.3006100927290445
9,44,1,7,3,-0.8445315543202319
5,68,1,4,5,-0.11580505165251055
4,73,1,7,8,0.3006100927290445
9,95,1,5,2,2.018322563302959
5,50,0,5,5,-1.000687233463315
5,47,1,5,8,-1.2609466987017868
5,76,1,4,9,0.35266198577673885
2,81,0,4,7,0.04035062749057258
7,60,1,5,5,-0.11580505165251055
1,97,0,5,4,0.8731809162536827
5,94,1,4,0,1.1854922745398488
2,52,0,5,5,-1.5212061639402588
1,97,0,9,8,0.7690771301582938
3,63,1,9,9,-0.42811640993867683
1,65,0,4,9,-0.7924796612725374
3,51,0,7,6,-1.1047910195587036
1,87,0,6,1,0.4047138788244332
2,42,0,7,3,-2.093776987464897
7,47,1,8,5,-0.6883758751771487
9,44,1,8,9,-0.58427208908176
2,43,1,6,8,-1.7814656291787305
9,83,1,4,8,1.2895960606352377
8,69,1,4,5,0.4047138788244332
4,49,0,8,4,-1.1568429126063982
5,83,1,6,8,0.6129214510152108
6,74,0,5,4,0.4567657718721276
9,90,1,4,9,1.7060112050167926
3,70,0,9,6,-0.2199088377478993
3,98,0,8,1,1.2895960606352377
9,47,1,9,8,-0.5322201960340656
7,97,0,4,4,1.5498555258737094
8,57,0,6,7,-0.16785694470020493
2,65,1,5,4,-0.8445315543202319
8,95,1,9,6,1.9662706702552646
8,81,0,9,6,0.9772847023490714
4,78,0,8,6,0.5088176649198219
6,75,0,9,2,0.5608695579675164
5,69,0,9,9,0.09240252053826696
6,45,0,8,8,-1.0527391265110093
1,40,0,9,7,-2.0417250944172025
4,80,0,5,5,0.6129214510152108
5,97,0,6,3,1.341647953682932
1,87,1,8,6,0.35266198577673885
9,78,1,6,7,0.9772847023490714
6,97,0,9,1,1.601907418921404
1,80,0,6,3,-0.011701265557121794
4,73,1,4,3,0.1965063066336557
7,41,0,4,9,-1.2609466987017868
9,70,0,5,9,0.6129214510152108
4,51,0,5,9,-1.000687233463315
4,48,1,9,2,-1.0527391265110093
2,58,0,9,7,-0.9486353404156206
7,77,1,7,4,0.7170252371105995
2,44,0,8,8,-1.41710237784487
1,91,1,6,3,0.5088176649198219
1,79,1,4,3,-0.11580505165251055
8,89,0,8,7,1.3936998467306263
8,95,0,9,9,1.8621668841598757
3,75,0,4,2,-0.06375315860481617
8,87,1,5,6,1.3936998467306263
3,69,1,4,5,-0.3760645168909824
2,68,1,4,7,-0.6363239821294543
4,72,0,5,7,-0.011701265557121794
2,61,0,9,0,-0.9486353404156206
3,82,0,5,8,0.4047138788244332
9,49,0,6,4,-0.5322201960340656
3,63,0,6,9,-0.5322201960340656
6,88,1,6,2,0.9772847023490714
7,52,0,6,5,-0.740427768224843
4,63,1,8,5,-0.4801683029863712
8,47,0,5,8,-0.8445315543202319
1,67,0,5,0,-0.740427768224843
6,76,1,4,3,0.5608695579675164
1,44,0,9,9,-2.0417250944172025
6,83,1,8,8,0.925232809301377
3,42,1,4,7,-1.6253099500356474
2,59,1,9,4,-1.1568429126063982
2,80,1,9,1,0.3006100927290445
4,62,1,8,2,-0.740427768224843
3,79,0,9,3,0.2485581996813501
1,90,0,7,7,0.6129214510152108
4,66,1,7,9,-0.3760645168909824
7,56,1,8,7,-0.3760645168909824
5,95,1,5,7,1.3936998467306263
9,61,0,9,2,0.1965063066336557
9,86,1,8,3,1.6539593119690983
2,81,1,7,5,0.3006100927290445
9,56,0,6,3,-0.11580505165251055
4,41,1,7,3,-1.573258056987953
1,64,0,4,4,-0.7924796612725374
5,47,1,8,7,-1.1047910195587036
7,66,1,9,8,0.2485581996813501
8,87,0,5,5,1.2375441675875432
9,72,0,9,5,0.6649733440629051
1,84,0,8,1,0.3006100927290445
9,93,0,5,3,1.6539593119690983
4,68,0,4,1,-0.4801683029863712
6,75,1,6,6,0.4047138788244332
7,90,0,8,2,1.341647953682932
6,82,1,7,2,0.8211290232059882
9,42,1,9,3,-0.9486353404156206
8,75,0,8,3,0.7690771301582938
3,65,0,5,0,-0.58427208908176
6,60,1,7,5,-0.32401262384328805
8,55,1,7,9,-0.11580505165251055
6,68,0,8,1,-0.011701265557121794
7,70,1,7,9,0.3006100927290445
3,83,1,5,3,0.04035062749057258
3,87,1,7,1,0.5608695579675164
1,92,1,4,6,0.6129214510152108
4,81,0,7,8,0.5608695579675164
9,72,1,6,4,0.6649733440629051
2,97,1,6,1,1.0293365953967657
6,75,1,4,3,0.4047138788244332
4,67,1,6,5,-0.32401262384328805
7,57,1,9,6,-0.32401262384328805
4,47,1,9,6,-1.3129985917494813
8,86,1,6,0,1.2375441675875432
8,93,1,6,9,1.7060112050167926
9,58,1,5,2,0.04035062749057258
7,93,0,6,0,1.5498555258737094
1,62,1,8,6,-0.7924796612725374
9,74,1,4,5,0.6129214510152108
9,98,1,4,9,2.1224263493983475
9,85,1,9,6,1.5498555258737094
1,47,1,5,0,-1.8855694152741194
6,77,0,4,7,0.5608695579675164
8,84,1,9,6,1.2375441675875432
6,93,1,5,5,1.4457517397783208
8,80,1,8,1,0.9772847023490714
3,56,0,7,6,-1.000687233463315
2,84,0,5,2,0.1965063066336557
7,93,0,9,0,1.4457517397783208
4,56,1,5,0,-0.8965834473679262
1,42,1,8,9,-2.1978807735602857
5,98,1,4,7,1.4457517397783208
5,95,1,9,4,1.4978036328260151
7,83,1,9,8,1.1334403814921545
9,94,0,9,1,1.8621668841598757
5,40,0,6,8,-1.6253099500356474
2,81,1,4,3,0.14445441358596134
2,91,1,8,0,0.7690771301582938
5,54,1,4,3,-0.740427768224843
3,88,1,7,7,0.7170252371105995
8,52,1,6,3,-0.5322201960340656
6,80,1,6,9,0.7170252371105995
2,42,1,9,4,-1.8855694152741194
5,97,0,8,1,1.341647953682932
9,61,1,9,9,0.14445441358596134
6,77,0,9,3,0.5608695579675164
8,79,1,7,4,1.0813884884444602
3,95,0,7,1,0.9772847023490714
2,82,1,7,9,0.3006100927290445
6,89,0,8,0,1.1334403814921545
9,76,1,8,1,1.0293365953967657
2,63,1,6,0,-0.8445315543202319
4,42,1,6,8,-1.573258056987953
